Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Disease
fever,cough,sore_throat,runny_nose,headache,flu
nausea,vomiting,stomach_pain,dehydration,fatigue,food_poisoning
headache,dizziness,nausea,blurred_vision,fatigue,migraine
sneezing,runny_nose,congestion,cough,itchy_eyes,common_cold
joint_pain,swelling,fever,fatigue,stiffness,arthritis
fatigue,thirst,weight_loss,blurred_vision,irritability,diabetes
rash,itching,swelling,redness,dry_skin,skin_allergy
chest_pain,breathlessness,fatigue,cough,palpitations,asthma
mood_swings,irregular_periods,hair_loss,acne,weight_gain,hormonal_imbalance
abdominal_pain,nausea,constipation,vomiting,fever,appendicitis
blurred_vision,headache,eye_pain,nausea,watering_eyes,glaucoma
dry_cough,fever,night_sweats,loss_of_appetite,fatigue,tuberculosis
back_pain,muscle_pain,joint_stiffness,numbness,muscle_weakness,fibromyalgia
weight_loss,fatigue,dizziness,chills,sweating,cancer
diarrhoea,fever,headache,malaise,cramps,cholera
constipation,abdominal_bloating,loss_of_appetite,vomiting,diarrhoea,ibs
itching,redness,dry_skin,scaling,pimples,eczema
vomiting,stomach_pain,headache,weakness,chills,gastritis
dizziness,loss_of_balance,confusion,slurred_speech,memory_loss,stroke
loss_of_appetite,fatigue,weight_loss,nausea,headache,cancer
